nid,episode,text,sarcasm,audio_path
51_1,51,"Like, I saw the track list and at the top, like, not at the top, like, song number four is like, they don't know I did it. And it's sung by, like, the current most suspicious person. But it's, it's actually, like, it's full of double meanings, but it's referring to something completely unrelated to the murder.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_1.mp3
51_2,51,"It's like, I've been secretly donating my salary to a local pet shelter. They don't know I did it.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_2.mp3
51_5,51,"Usually we're separated by oceans and stars, but now we're in the same space, so, uh.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_5.mp3
51_6,51,"Audio quality, yay! But no, uh, Redd, why are we, why are we hanging out, uh, this weekend?",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_6.mp3
51_15,51,"as a bit of a convention aficionado, at least before.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_15.mp3
51_19,51,"really my flavor so much, it's, there's like, I tend to operate at like a six on an energy scale and most anime cons tend to average about a 15, so.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_19.mp3
51_24,51,"No, I, I had a blast, cause I mean, you know, we, we've done the trope talks, we've done the streams, we've done podcasts and all kinds of stuff, but being in front of people is, it's a different ball game.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_24.mp3
51_25,51," Yeah, for sure.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_25.mp3
51_28,51,"Yeah. Finger puppets. Yeah, we got finger puppets of like the whole OSP crew. It was wonderful.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_28.mp3
51_29,51,"Yeah. One, it is definitely true. Like, live feedback from a panel audience is a lot of fun. Cause I noticed, like, both of us were like, we're gonna make the audience laugh.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_29.mp3
51_30,51,"And a lot of people we were on panels with weren't really, they didn't seem to have that same objection, objective, but I was like, it's gonna happen.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_30.mp3
51_31,51,"Yeah. We got it. We had some good, some good jokes and callbacks and stuff. Yeah.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_31.mp3
51_33,51,"Big ups to the health and safety at ChiCon and WorldCon, that was really fantastic.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_33.mp3
51_35,51,"But, uh, yeah, so first there was, uh, the, our part of the, uh, one musical scene collab, uh, organized by Nando V Movies, uh, who does one of these every year, and it's always an absolute delight to participate in. Uh, and it gave me an excuse to talk about the greatest movie known to man, Kung Fu Panda 2, the one with the peacock guy voiced by Gary Oldman.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_35.mp3
51_36,51,"Oh, I, I didn't know that was Gary Oldman. Yeah, Lord Shen, Gary Oldman. Oh my god.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_36.mp3
51_45,51,"Uh, like, I did choir, it's like, I, I, I did bass, so like, I can't sing the main line of any of the popular songs. Yeah, like, put me on Hellfire, I'm great, but anyway, yeah, so no, I mean, you know.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_45.mp3
51_48,51,"Yeah, it was very fun. Um, I had a lot of fun just getting to sort of unpack",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_48.mp3
51_51,51,Oh yeah.,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_51.mp3
51_52,51,"uh, compromise, where it's like the first like five minutes are like, okay, here's my script. Here's two pages that I wrote up about this just kind of on my phone while I was listening through it, like with full headphones, like, all right, wow, what is that?",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_52.mp3
51_56,51,"When we do this next year, how are we going to go about it? Because doing those scenes for us was super fun. Yeah. Being able to be like, oh, here's our way that we can talk about like extremely like deep dive popular media.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_56.mp3
51_58,51,"The detailed diatribes are really, really coming to their own, I think.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_58.mp3
51_59,51,"Um, you know, they're, every one of our videos is someone's favorite, and hearing people be like, yo, the detailed diatribes are so good, I really like them, you know, uh, it's, it is super cool, uh, to hear that, so.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_59.mp3
51_61,51,"Yeah, I, I, I don't necessarily want to phrase it as just that we were really busy, and I phrased it as that in the past, so I'm not like, yeah, yeah, but, um.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_61.mp3
51_66,51,"You know, he's just the coolest and he's a sweetheart and I like these stories about him and it's fun and it makes me mad when people don't get him. Uh, and then, but even then it's like, I just like him because he's got a good heart and he's like, he, he's a very important force for good. And then you were like, yeah, and it's cool how he rescues people. And I was like, what the fuck? Why didn't I, what? Um, cause it's like, that's absolutely true. It sounds obvious and.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_66.mp3
51_68,51,"It's easy to sort of lose sight of, you know? It's so foundational. You stop realizing how absolutely important it is. It's like a, it's like a retaining wall in a building. It's like, it's been there forever. We can probably knock it down and everything will be fine. Um, and just the sheer fact that Superman is not only like a better person when he rescues people.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_68.mp3
51_69,51,"His stories are more interesting. It was like, Oh yeah, that.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_69.mp3
51_74,51,There's only so much you can do with that and it really runs the risk of kind of warfing him because it's like either he instantly wins or he gets swatted around way more than somebody faster than a speeding bullet and more powerful than a locomotive probably should be.,1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_74.mp3
51_75,51, Yeah. Yeah. Yeah.,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_75.mp3
51_77,51,"Yeah, having him be the ultimate firefighter and the ultimate, you know, saving person is",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_77.mp3
51_79,51,He can do almost everything and he's such a Swiss army knife.,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_79.mp3
51_80,51,And he is so uninteresting in combat because even though some commenters made it to the point that in various continuities he did receive,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_80.mp3
51_87,51,"Superman will just go punch it. Like, the Justice League writer's room had a lot of problems with power, stuff like that. One of the, like, in jokes I guess they had was, is this going to be the week where we let",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_87.mp3
51_88,51,"Green lantern make a road so flash can throw something into the sun and make it not be a problem anymore. And they finally let him do it in the finale because they were like, we can't, if we establish this precedent, we are never going to be able to have a threat in this series again. Um, and Superman is kind of like that, but like personified. So giving him stuff to do that isn't punch the bad guy until the bad guy stops or give the other leaguers something to do that adds more meaning to",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_88.mp3
51_89,51,"Superman's punch the bad guy until the bad guy stops actions make him more interesting. The, the episode of Justice League that I brought up as, like, required viewing on that episode was, um,",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_89.mp3
