id,utterance,context_last,utt_sentiment,context_sentiment,irony_gap,show
1_60,It's just a privilege to watch your mind at work.,My apologies. What's your plan?,0.3612,0.0,0.3612,BBT
1_70,I don't think I'll be able to stop thinking about it.,You'll think about it?,-0.296,0.9231,-1.2191,BBT
1_105,I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.,Explain to me an organizational system where a tray of flatware on a couch is valid.,0.0,-0.7368,0.7368,BBT
1_175,"If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.","God, that's a good song.",-0.3818,0.7845,-1.1663,BBT
1_182,No. The dark crescent-shaped patterns under your arms conceal it nicely.,Can you tell I'm perspiring a little?,0.4404,0.0,0.4404,BBT
1_213,"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.","Then we'll avoid him, we'll meet the new department head, congratulate him, shake his hand and go.",0.8533,0.9252,-0.07190000000000007,BBT
1_276,"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.","Yeah, you, too.
Leonard, I didn't know you played the cello.",0.6738,0.4956,0.17819999999999997,BBT
1_340,"Sure, cut the foreigner in half. There's a billion more where he came from.",The only way we can play teams at this point is if we cut Raj in half.,0.0516,0.1477,-0.09609999999999999,BBT
1_427,"Well, I'm sorry, too, but there's just no room for you in my wallet.","Yeah, I need to cancel my membership to the planetarium.",-0.34,0.0516,-0.3916,BBT
1_507,"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.","Sheldon, why is this letter in the trash?",0.1406,0.1901,-0.04949999999999999,BBT
1_536,Just the latest copy of Applied Particle Physics quarterly.,Get anything good?,0.0,0.4404,-0.4404,BBT
1_537,"Oh, you know, that is so weird that yours came and mine didn't.",Just the latest copy of Applied Particle Physics quarterly.,-0.3052,0.4404,-0.7456,BBT
1_971,"- Now?! - No, after my tongue has swollen to the size of a brisket!",Don't yell at me! I've got to go to the emergency room!,0.0,-0.6713,0.6713,BBT
1_1003,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.",I'm gonna go back and try talking to her again.,0.6597,-0.4871,1.1467999999999998,BBT
1_1144,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""","There was Joyce Kim, Leslie Winkle",0.0,0.8377,-0.8377,BBT
1_1180,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.","They have a lot in common. I mean, they're both scientists.",0.3182,-0.3757,0.6939,BBT
1_1296,"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.",Go for Koothrappali.,0.0772,0.6808,-0.6035999999999999,BBT
1_1466,"Maybe when I publish it, I'll include an inhaler.","I just finished reading your paper reconciling the black hole information paradox with your theory of string-network condensates, and it just took my breath away.",0.0,-0.0258,0.0258,BBT
1_1478,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.","Not yet, but her underwater photo shoot was an embarrassment.",0.3612,-0.8229,1.1841,BBT
1_1549,On a dusty highway just outside Bakersfield. Where do you think? On Mars!,Where?,0.0,0.6946,-0.6946,BBT
1_1560,How nice. Maybe they can carpool when they visit you in federal prison.,My mother is so gonna love her.,-0.128,0.9419,-1.0699,BBT
1_1638,The blunt instrument that will be the focus of my murder trial?,Tell me what you see here.,-0.6908,0.0,-0.6908,BBT
1_1732,You were right. Your larynx is terribly inflamed. I've never seen anything like it.,What?,-0.797,-0.296,-0.5010000000000001,BBT
1_1772,"""Dave."" Sounds like Leonard's got a new BFF.",Where were you?,0.7983,0.4486,0.3497,BBT
1_1798,"If you don't like this stuff, let's go next door and build her a bear.",It's as if my head were trapped in the pajamas of a sultan.,-0.2755,-0.7906,0.5150999999999999,BBT
1_1803,"- Maybe I heard you wrong. A lot of words sound like ""yoga.""","I know, I've been offering to show you around for a year and a half. You always said you had yoga.",-0.1531,0.6588,-0.8119000000000001,BBT
1_1931,Why don't you just lie down on the floor and swim there?,I'm going to acquire a book that summarizes the current theories in the field of friend-making.,0.0,0.0,0.0,BBT
1_1973,I hope I'm a waitress at the Cheesecake Factory for my whole life.,"Additionally, I like having my belly scratched.",0.4404,0.6662,-0.2258,BBT
1_1987,"When I didn't pay my bill, the Department of Water and Power thought I would enjoy the ambience.","A little mood lighting, huh?",0.5417,0.0,0.5417,BBT
1_2119,"Kind of makes you feel more alive, doesn't it?",The big wet ball of death.,0.4391,-0.965,1.4041,BBT
1_2198,"Assuming I can keep up this pace, three hours, 11 minutes. Plus however long it takes to conclude this fairly pointless conversation.",How long is this going to take?,0.0,0.0,0.0,BBT
1_2354,"So? Do cocaine smugglers write ""cocaine"" on the box?","The box says ""kitchen.""",-0.4137,0.6322,-1.0459,BBT
1_2464,"You think ""coffee,"" means coffee. That is so sweet.","Gee, it's a little late for coffee, isn't it?",0.5949,0.8205,-0.22560000000000002,BBT
1_2580,"Okay, here's an idea. What if I change my name and go live with my cousin and her husband, Avi, in Israel?",It won't work. No way to mount it.,0.2263,0.7609,-0.5346,BBT
1_2614,Hardly a day goes by when I don't think about it.,Do you remember the grant proposal I submitted to the National Science Foundation to detect slow-moving monopoles at the magnetic North Pole?,0.0,0.4871,-0.4871,BBT
1_2616,"Sure, maybe a tableau of me trying to pummel you to death.",Third-graders will create macaroni-art dioramas depicting scenes from my life.,-0.3818,0.2617,-0.6435,BBT
1_2778,"Ooh, big talk from a man who was once treed by a chicken.","And I believe I could easily best you in any physical confrontation-- be it noogies, swirlies or the classic ""Why are you hitting yourself?""",0.0,0.5362,-0.5362,BBT
1_2797,It's an iCal download. She can put it right in her phone.,"Sorry, I haven't given her your schedule yet.",0.0,0.6072,-0.6072,BBT
1_2819,"You know, I've always wanted to go to a Goth nightclub.","Put them on, have hot sex with some freaky girl with her business pierced, take them off, and I can still be buried in a Jewish cemetery.",0.0,0.3527,-0.3527,BBT
1_2853,"Obviously, waitressing at The Cheese Cake Factory is a complex socio-economic activity that requires a great deal of analysis and planning.",What could she possibly be talking about for so long?,0.6249,0.3382,0.2867,BBT
1_3064,When I have enough to destroy all the human toast on the Battlestar known as Galactica.,When are you going to stop making Cylon toast?,-0.5423,-0.296,-0.24630000000000002,BBT
1_3125,"But if she dumps you, she'll have a new boyfriend by tomorrow morning and you'll have a new girlfriend when you figure out how to build one.",Thank you!,-0.5499,0.5707,-1.1206,BBT
1_3256,"I'm sorry, fiddling with yourself in the bathtub is a real class act.","Come on, Katee. Don't make it sound so cheap.",-0.0772,0.9299,-1.0070999999999999,BBT
1_3259,"No, I mean Princess Leia. Of course I mean Bernadette. She's a wonderful girl and she really likes you.","You mean, Bernadette?",0.7778,0.8611,-0.08329999999999993,BBT
1_3287,"Oh, sure. And while we're at it, why don't we put our hands behind our backs, have an old-fashioned eating contest?","Oh, come on, it's fine. We'll just put it all on the table, you know, family style.",0.2732,0.8453,-0.5721,BBT
1_3293,Leonard's work is nearly as amazing as third graders growing lima beans in wet paper towels.,Yes.,0.6705,0.9413,-0.27080000000000004,BBT
1_3419,"Oh, we don't need to talk about that anymore. Leonard covered it pretty well in the car.","Well, we could always learn more about why people who believe in psychics are idiots. Leonard?",0.6486,0.3527,0.29589999999999994,BBT
1_3545,"I understand your point, but given a choice, Jews always go with Chinese food.","Given that Saint Valentine was a third century Roman priest who was stoned and beheaded, wouldn't a more appropriate celebration of the evening be taking one's steady gal to witness a brutal murder?",0.0,-0.8126,0.8126,BBT
1_3573,"Well, I always figured it was to study us, discover our weaknesses, and report back to your alien overlords.",I believe you know why I'm here.,-0.1027,0.25,-0.3527,BBT
1_3660,There a new girlfriend in there? 'Cause you might need one.,We didn't even get to go through it all. There could be anything in here.,0.0,0.5399,-0.5399,BBT
1_3707,"Oh, I'm so glad you asked it like that. You.","All right, I'll play. What self-important, preening fraud are they honoring this year?",0.7481,0.8677,-0.11960000000000004,BBT
1_3766,Can we please talk about something else? Maybe something vaguely related to life as we know it on this planet?,"For the record, giant rats are possible.",0.3939,-0.2887,0.6826,BBT
1_4031,"In 1917, when Albert Einstein established the theoretic foundation for the laser in his paper <i>""Zur Quantentheorie der</i> <i>Strahlung,""</i> his fondest hope was that the resultant device be bitchin'.",Yes.,0.4404,0.8706,-0.4302,BBT
